Question,Answer,Tags
How long is the AWS Cloud Practitioner (CLF-C02) exam?,90 minutes,exam-logistics
How many questions are on the AWS Cloud Practitioner (CLF-C02) exam?,65 (50 scored + 15 unscored),exam-logistics
What is the passing score for AWS Cloud Practitioner (CLF-C02)?,700 / 1000,exam-logistics
What does the AWS Cloud Practitioner (CLF-C02) exam cost?,$100 USD,exam-logistics
How long is AWS Cloud Practitioner (CLF-C02) valid for?,3 years,exam-logistics
Definition (cloud concepts),Provides virtualized computing resources over the internet,"notes,cloud-concepts"
What you get (cloud concepts),"Virtual machines, storage, networks, operating systems","notes,cloud-concepts"
What you manage (cloud concepts),"Operating systems, middleware, runtime, data, applications","notes,cloud-concepts"
AWS Examples (cloud concepts),"EC2, VPC, EBS, S3","notes,cloud-concepts"
Benefits (cloud concepts),"Cost-effective, scalable, flexible","notes,cloud-concepts"
Characteristics (cloud concepts),Available to general public,"notes,cloud-concepts"
Use Cases (cloud concepts),"Web applications, development/testing, backup","notes,cloud-concepts"
Capital Expenditure (CapEx) to Operating Expenditure (OpEx) (cloud concepts),No upfront hardware costs,"notes,cloud-concepts"
Speed and Agility (cloud concepts),Quick resource provisioning,"notes,cloud-concepts"
Global Scale (cloud concepts),Deploy globally in minutes,"notes,cloud-concepts"
Productivity (cloud concepts),Focus on business differentiators,"notes,cloud-concepts"
Reliability (cloud concepts),Built-in redundancy,"notes,cloud-concepts"
Security (cloud concepts),Professional security teams,"notes,cloud-concepts"
Performance (cloud concepts),Latest technology,"notes,cloud-concepts"
Capital Expenses (CapEx) (cloud concepts),Hardware purchases,"notes,cloud-concepts"
Operational Expenses (OpEx) (cloud concepts),Maintenance and support,"notes,cloud-concepts"
Pay-as-you-go (cloud concepts),Only pay for what you use,"notes,cloud-concepts"
No upfront costs (cloud concepts),Eliminate capital expenditures,"notes,cloud-concepts"
Variable costs (cloud concepts),Costs scale with usage,"notes,cloud-concepts"
Economies of scale (cloud concepts),Benefit from AWS's massive scale,"notes,cloud-concepts"
Business (cloud concepts),IT aligns with business needs,"notes,cloud-concepts"
People (cloud concepts),Evaluate organizational structures and roles,"notes,cloud-concepts"
Governance (cloud concepts),Skills and processes align IT strategy,"notes,cloud-concepts"
Platform (cloud concepts),Understand and communicate nature of IT systems,"notes,cloud-concepts"
Operations (cloud concepts),"Enable, run, use, operate, and recover IT workloads","notes,cloud-concepts"
Geographic Separation (global infrastructure),Regions are geographically distributed globally,"notes,global-infrastructure"
Isolated (global infrastructure),Each Region is completely isolated from other Regions,"notes,global-infrastructure"
Independent (global infrastructure),Regions operate independently for fault tolerance,"notes,global-infrastructure"
Data Sovereignty (global infrastructure),Data remains in the Region unless explicitly moved,"notes,global-infrastructure"
105+ Availability Zones (global infrastructure),600+ Edge Locations and Regional Edge Caches,"notes,global-infrastructure"
US East (N. Virginia) (global infrastructure),us-east-1 (First AWS Region),"notes,global-infrastructure"
Physical Separation (global infrastructure),Separated by meaningful distances (miles/kilometers),"notes,global-infrastructure"
Independent Infrastructure (global infrastructure),"Own power, cooling, and networking","notes,global-infrastructure"
High-speed Connectivity (global infrastructure),"Connected via high-bandwidth, low-latency links","notes,global-infrastructure"
Fault Isolation (global infrastructure),Designed to isolate failures,"notes,global-infrastructure"
Redundancy (global infrastructure),Multiple AZs per Region for resilience,"notes,global-infrastructure"
Multi-AZ Deployment (global infrastructure),Deploy across multiple AZs for high availability,"notes,global-infrastructure"
Load Distribution (global infrastructure),Distribute resources evenly across AZs,"notes,global-infrastructure"
Data Replication (global infrastructure),Replicate critical data across AZs,"notes,global-infrastructure"
Disaster Recovery (global infrastructure),Use multiple AZs for business continuity,"notes,global-infrastructure"
Definition (global infrastructure),Data centers used by CloudFront for content delivery,"notes,global-infrastructure"
Purpose (global infrastructure),Cache content closer to end users,"notes,global-infrastructure"
Global Distribution (global infrastructure),600+ locations worldwide,"notes,global-infrastructure"
Reduced Latency (global infrastructure),Deliver content from nearest location,"notes,global-infrastructure"
Larger Caches (global infrastructure),Between CloudFront Edge Locations and origin,"notes,global-infrastructure"
Improved Performance (global infrastructure),Cache less popular content,"notes,global-infrastructure"
Cost Effective (global infrastructure),Reduce origin requests,"notes,global-infrastructure"
Network Performance (global infrastructure),Improve availability and performance,"notes,global-infrastructure"
Global Network (global infrastructure),Use AWS global network infrastructure,"notes,global-infrastructure"
Anycast IP (global infrastructure),Route traffic to optimal endpoints,"notes,global-infrastructure"
Health Checks (global infrastructure),Automatic failover capabilities,"notes,global-infrastructure"
Ultra-low Latency (global infrastructure),Single-digit millisecond latency,"notes,global-infrastructure"
Local Processing (global infrastructure),Compute and storage closer to end users,"notes,global-infrastructure"
AWS Services (global infrastructure),Subset of AWS services available,"notes,global-infrastructure"
Connectivity (global infrastructure),Connected to parent AWS Region,"notes,global-infrastructure"
5G Integration (global infrastructure),Embedded within telecommunications providers' networks,"notes,global-infrastructure"
Mobile Edge Computing (global infrastructure),Process data at mobile network edge,"notes,global-infrastructure"
Hybrid Cloud (global infrastructure),Seamless hybrid experience,"notes,global-infrastructure"
AWS Hardware (global infrastructure),AWS-designed hardware,"notes,global-infrastructure"
Consistent APIs (global infrastructure),Same AWS APIs and tools,"notes,global-infrastructure"
Security (global infrastructure),Physical and logical security measures,"notes,global-infrastructure"
Efficiency (global infrastructure),Optimized for performance and cost,"notes,global-infrastructure"
Sustainability (global infrastructure),Focus on renewable energy,"notes,global-infrastructure"
24/7 Monitoring (global infrastructure),Continuous surveillance,"notes,global-infrastructure"
Access Control (global infrastructure),Multi-factor authentication,"notes,global-infrastructure"
Incident Response (global infrastructure),Dedicated security teams,"notes,global-infrastructure"
Compliance (global infrastructure),Various certifications and audits,"notes,global-infrastructure"
Renewable Energy (global infrastructure),Commitment to 100% renewable energy,"notes,global-infrastructure"
Water Conservation (global infrastructure),Efficient cooling systems,"notes,global-infrastructure"
Carbon Neutral (global infrastructure),Goal to be carbon neutral by 2040,"notes,global-infrastructure"
IAM (global infrastructure),Identity and Access Management,"notes,global-infrastructure"
CloudFront (global infrastructure),Content Delivery Network,"notes,global-infrastructure"
WAF (global infrastructure),Web Application Firewall,"notes,global-infrastructure"
EC2 (global infrastructure),Elastic Compute Cloud,"notes,global-infrastructure"
RDS (global infrastructure),Relational Database Service,"notes,global-infrastructure"
VPC (global infrastructure),Virtual Private Cloud,"notes,global-infrastructure"
S3 (global infrastructure),Simple Storage Service (buckets are regional),"notes,global-infrastructure"
EBS (global infrastructure),Elastic Block Store,"notes,global-infrastructure"
EC2 Instances (global infrastructure),Launched in specific AZs,"notes,global-infrastructure"
Subnets (global infrastructure),Created in specific AZs,"notes,global-infrastructure"
Active-Active (global infrastructure),Resources running in multiple AZs,"notes,global-infrastructure"
Active-Passive (global infrastructure),Primary AZ with standby in another AZ,"notes,global-infrastructure"
Pilot Light (global infrastructure),Minimal resources always running,"notes,global-infrastructure"
Warm Standby (global infrastructure),Scaled-down version always running,"notes,global-infrastructure"
Backup and Restore (global infrastructure),Data backed up to another Region,"notes,global-infrastructure"
Multi-Site Active/Active (global infrastructure),Full capacity in multiple Regions,"notes,global-infrastructure"
High Bandwidth (global infrastructure),25 Gbps between AZs,"notes,global-infrastructure"
Low Latency (global infrastructure),Sub-millisecond latency,"notes,global-infrastructure"
Redundant Paths (global infrastructure),Multiple network paths,"notes,global-infrastructure"
Dedicated Connections (global infrastructure),Private connectivity,"notes,global-infrastructure"
AWS Backbone (global infrastructure),Traffic uses AWS global network when possible,"notes,global-infrastructure"
Encryption (global infrastructure),Data encrypted in transit,"notes,global-infrastructure"
Optimization (global infrastructure),Optimized routing for performance,"notes,global-infrastructure"
Predictable Performance (global infrastructure),Consistent network performance,"notes,global-infrastructure"
Object Storage (storage services),Store data as objects within buckets,"notes,storage-services"
Scalability (storage services),Virtually unlimited storage capacity,"notes,storage-services"
Durability (storage services),99.999999999% (11 9's) durability,"notes,storage-services"
Availability (storage services),Designed for 99.99% availability,"notes,storage-services"
Security (storage services),"Encryption, access control, versioning","notes,storage-services"
Definition (storage services),Containers for storing objects,"notes,storage-services"
Global Namespace (storage services),Bucket names must be globally unique,"notes,storage-services"
Regional (storage services),Buckets are created in specific AWS Regions,"notes,storage-services"
Naming (storage services),"Must be DNS-compliant (lowercase, no spaces)","notes,storage-services"
Components (storage services),"Key (name), value (data), metadata, version ID","notes,storage-services"
Size (storage services),From 0 bytes to 5 TB,"notes,storage-services"
Key (storage services),Unique identifier within a bucket,"notes,storage-services"
Metadata (storage services),Key-value pairs describing the object,"notes,storage-services"
Use Case (storage services),Frequently accessed data,"notes,storage-services"
Performance (storage services),"Low latency, high throughput","notes,storage-services"
Cost (storage services),"Higher storage cost, no retrieval fees","notes,storage-services"
Automatic (storage services),Moves data between access tiers,"notes,storage-services"
Cost Optimization (storage services),Optimizes storage costs automatically,"notes,storage-services"
Tiers (storage services),"Frequent, Infrequent, Archive, Deep Archive","notes,storage-services"
Monitoring (storage services),Small monthly monitoring fee,"notes,storage-services"
Retrieval (storage services),Per-GB retrieval fee,"notes,storage-services"
Minimum (storage services),30-day minimum storage duration,"notes,storage-services"
Use Cases (storage services),"Backups, disaster recovery, long-term storage","notes,storage-services"
Storage (storage services),Single Availability Zone (lower cost),"notes,storage-services"
Retrieval Options (storage services),Expedited: 1-5 minutes,"notes,storage-services"
Benefits (storage services),"Protect against accidental deletion, retrieve previous versions","notes,storage-services"
States (storage services),"Unversioned (default), Versioning-enabled, Versioning-suspended","notes,storage-services"
Version ID (storage services),Unique identifier for each version,"notes,storage-services"
Actions (storage services),Transition: Move to another storage class,"notes,storage-services"
Expiration (storage services),Delete objects after specified time,"notes,storage-services"
Rules (storage services),"Based on object age, prefixes, tags","notes,storage-services"
Cross-Region Replication (CRR) (storage services),Replicate objects across AWS Regions,"notes,storage-services"
Same-Region Replication (SRR) (storage services),Replicate within same Region,"notes,storage-services"
SSE-S3 (storage services),"Managed by AWS, AES-256 encryption","notes,storage-services"
SSE-KMS (storage services),AWS Key Management Service keys,"notes,storage-services"
