Question,Answer,Tags
How long is the AWS Certified Developer - Associate (DVA-C02) exam?,130 minutes,exam-logistics
How many questions are on the AWS Certified Developer - Associate (DVA-C02) exam?,65 scored questions,exam-logistics
What is the passing score for AWS Certified Developer - Associate (DVA-C02)?,720/1000,exam-logistics
What does the AWS Certified Developer - Associate (DVA-C02) exam cost?,$150 USD,exam-logistics
How long is AWS Certified Developer - Associate (DVA-C02) valid for?,3 years,exam-logistics
How is the AWS Certified Developer - Associate (DVA-C02) exam delivered?,Pearson VUE (Testing center or online proctored),exam-logistics
Execution Model (development with aws services),"Event-driven, serverless compute service","notes,development-with-aws-services"
Runtime Support (development with aws services),"Node.js, Python, Java, .NET, Go, Ruby, Custom Runtime","notes,development-with-aws-services"
Invocation Types (development with aws services),"Synchronous, Asynchronous, Poll-based","notes,development-with-aws-services"
Cold Starts (development with aws services),Initial invocation delay when creating new execution environment,"notes,development-with-aws-services"
Warm Containers (development with aws services),Reused execution environments for subsequent invocations,"notes,development-with-aws-services"
S3 (development with aws services),"Object creation, deletion, modification events","notes,development-with-aws-services"
DynamoDB Streams (development with aws services),Table change capture,"notes,development-with-aws-services"
API Gateway (development with aws services),HTTP/REST API requests,"notes,development-with-aws-services"
SNS/SQS (development with aws services),Message queue and pub/sub integration,"notes,development-with-aws-services"
CloudWatch Events (development with aws services),Scheduled and event-based triggers,"notes,development-with-aws-services"
Kinesis (development with aws services),Real-time data stream processing,"notes,development-with-aws-services"
REST API (development with aws services),"Full-featured API with caching, throttling, authorization","notes,development-with-aws-services"
HTTP API (development with aws services),"Lightweight, lower cost, faster performance","notes,development-with-aws-services"
WebSocket API (development with aws services),Two-way communication for real-time applications,"notes,development-with-aws-services"
Request Validation (development with aws services),Schema-based request validation,"notes,development-with-aws-services"
Request/Response Transformation (development with aws services),Modify data using mapping templates,"notes,development-with-aws-services"
Caching (development with aws services),Reduce backend calls with endpoint caching,"notes,development-with-aws-services"
Throttling (development with aws services),Rate limiting per API key or globally,"notes,development-with-aws-services"
CORS (development with aws services),Cross-origin resource sharing configuration,"notes,development-with-aws-services"
Usage Plans (development with aws services),API key management and throttling quotas,"notes,development-with-aws-services"
Partition Key (development with aws services),Determines data distribution across partitions,"notes,development-with-aws-services"
Sort Key (development with aws services),"Optional, enables range queries within partition","notes,development-with-aws-services"
Composite Keys (development with aws services),Partition key + sort key for hierarchical data,"notes,development-with-aws-services"
Secondary Indexes (development with aws services),GSI (Global) and LSI (Local) for alternate query patterns,"notes,development-with-aws-services"
Connection Pooling (development with aws services),Manages database connections efficiently,"notes,development-with-aws-services"
IAM Authentication (development with aws services),Database authentication using IAM,"notes,development-with-aws-services"
Failover Support (development with aws services),Automatic failover to read replicas,"notes,development-with-aws-services"
Reduces Cold Starts (development with aws services),Maintains connection pool,"notes,development-with-aws-services"
Standard Queue (development with aws services),"At-least-once delivery, best-effort ordering","notes,development-with-aws-services"
FIFO Queue (development with aws services),"Exactly-once processing, strict ordering","notes,development-with-aws-services"
EC2 Instance Roles (security),Attach IAM roles to EC2 instances,"notes,security"
Lambda Execution Roles (security),Grant Lambda functions permissions to AWS services,"notes,security"
ECS Task Roles (security),Permissions for containerized applications,"notes,security"
Cross-Account Roles (security),Access resources across AWS accounts,"notes,security"
AssumeRole (security),Cross-account or same-account role assumption,"notes,security"
AssumeRoleWithWebIdentity (security),For mobile/web apps with identity providers,"notes,security"
AssumeRoleWithSAML (security),For SAML-based federation,"notes,security"
GetFederationToken (security),For federated users,"notes,security"
GetSessionToken (security),For MFA-enabled users,"notes,security"
Sign-up and Sign-in (security),Email/username and password authentication,"notes,security"
MFA (security),SMS or TOTP-based multi-factor authentication,"notes,security"
Password Policies (security),Configurable password requirements,"notes,security"
Email/SMS Verification (security),Account verification workflows,"notes,security"
Custom Attributes (security),Additional user metadata,"notes,security"
Lambda Triggers (security),"Pre/post authentication, token generation hooks","notes,security"
Guest Access (security),Unauthenticated user access to AWS resources,"notes,security"
Authenticated Access (security),Access after authentication via User Pool or external IdP,"notes,security"
Role-Based Access (security),Different IAM roles for authenticated/unauthenticated users,"notes,security"
Fine-Grained Access (security),Use identity ID in IAM policies for user-specific access,"notes,security"
Full Control (security),"Create, rotate, disable, delete keys","notes,security"
Key Policies (security),Fine-grained access control,"notes,security"
Automatic Rotation (security),Annual key rotation (optional),"notes,security"
CloudTrail Logging (security),All key usage logged,"notes,security"
Service-Specific (security),"Created by AWS services (e.g., aws/s3, aws/rds)","notes,security"
Limited Control (security),Cannot delete or modify key policies,"notes,security"
Lambda-based Rotation (security),Custom Lambda function for rotation logic,"notes,security"
Rotation Strategies (security),Single user vs alternating users,"notes,security"
RDS Integration (security),Built-in rotation for RDS credentials,"notes,security"
Versioning (security),Maintains secret versions during rotation,"notes,security"
Load Balancers (security),ALB/NLB SSL termination,"notes,security"
CloudFront (security),HTTPS for CDN distributions,"notes,security"
API Gateway (security),Custom domain SSL/TLS,"notes,security"
Elastic Beanstalk (security),SSL for applications,"notes,security"
Automatic Renewal (security),ACM auto-renews public certificates,"notes,security"
S3 (security),"Server-side encryption (SSE-S3, SSE-KMS, SSE-C)","notes,security"
EBS (security),Encrypted volumes with KMS,"notes,security"
RDS (security),Encryption with KMS at creation time,"notes,security"
DynamoDB (security),Encryption at rest enabled by default,"notes,security"
HTTPS (security),All API communication over TLS,"notes,security"
VPC Endpoints (security),Private connectivity to AWS services,"notes,security"
VPN (security),Encrypted connections to VPC,"notes,security"
TLS 1.2+ (security),Use modern TLS versions,"notes,security"
Fully Managed (deployment),No infrastructure to manage,"notes,deployment"
High Availability (deployment),Redundant across multiple AZs,"notes,deployment"
Encryption (deployment),At rest and in transit,"notes,deployment"
IAM Integration (deployment),Fine-grained access control,"notes,deployment"
Event Notifications (deployment),Triggers for repository events,"notes,deployment"
Managed Build Environment (deployment),Preconfigured build environments,"notes,deployment"
Custom Docker Images (deployment),Use custom build environments,"notes,deployment"
Parallel Builds (deployment),Build multiple projects simultaneously,"notes,deployment"
Build Caching (deployment),Cache dependencies for faster builds,"notes,deployment"
Artifact Management (deployment),Store build outputs in S3,"notes,deployment"
Environment Variables (deployment),Secure parameter storage,"notes,deployment"
EC2/On-Premises (deployment),Traditional server deployments,"notes,deployment"
Lambda (deployment),Serverless function deployments,"notes,deployment"
ECS (deployment),Container deployments,"notes,deployment"
