Question,Answer,Tags
Microservices architecture (cloud native development),"Decompose applications into small, independent services","notes,cloud-native-development"
Containerization (cloud native development),Package applications with dependencies,"notes,cloud-native-development"
Dynamic orchestration (cloud native development),Automated deployment and scaling,"notes,cloud-native-development"
DevOps integration (cloud native development),Continuous integration and delivery,"notes,cloud-native-development"
Resilience (cloud native development),Design for failure and recovery,"notes,cloud-native-development"
Serverless (cloud native development),No infrastructure management,"notes,cloud-native-development"
Auto-scaling (cloud native development),Scale to zero and up based on demand,"notes,cloud-native-development"
Pay-per-use (cloud native development),Charged only when running,"notes,cloud-native-development"
Container support (cloud native development),Run any container image,"notes,cloud-native-development"
Source-to-image (cloud native development),Build from source code,"notes,cloud-native-development"
Event-driven (cloud native development),Trigger on events,"notes,cloud-native-development"
Concurrency (cloud native development),Requests per instance,"notes,cloud-native-development"
CPU (cloud native development),Processor utilization,"notes,cloud-native-development"
Custom metrics (cloud native development),Via application instrumentation,"notes,cloud-native-development"
Pay-per-execution (cloud native development),Charged only when code runs,"notes,cloud-native-development"
Multiple languages (cloud native development),"Node.js, Python, Go, Java, PHP, Ruby, .NET, Swift","notes,cloud-native-development"
Sequences (cloud native development),Chain functions together,"notes,cloud-native-development"
Built-in packages (cloud native development),Pre-built integrations,"notes,cloud-native-development"
Routes (cloud native development),Built-in ingress with SSL,"notes,cloud-native-development"
ImageStreams (cloud native development),Track image changes,"notes,cloud-native-development"
BuildConfigs (cloud native development),Integrated CI/CD,"notes,cloud-native-development"
DeploymentConfigs (cloud native development),Enhanced deployments,"notes,cloud-native-development"
Projects (cloud native development),Namespace with additional features,"notes,cloud-native-development"
Operators (cloud native development),Automated operations,"notes,cloud-native-development"
Security (cloud native development),Security Context Constraints (SCCs),"notes,cloud-native-development"
