Question,Answer,Tags
How long is the Google Cloud Associate Cloud Engineer Certification exam?,120 minutes,exam-logistics
How many questions are on the Google Cloud Associate Cloud Engineer Certification exam?,50-60 questions,exam-logistics
What is the passing score for Google Cloud Associate Cloud Engineer Certification?,~70% (not officially published),exam-logistics
What does the Google Cloud Associate Cloud Engineer Certification exam cost?,$125 USD,exam-logistics
How long is Google Cloud Associate Cloud Engineer Certification valid for?,3 years,exam-logistics
IP (app deployment),Split based on IP address (default),"notes,app-deployment"
Cookie (app deployment),Split based on cookie (sticky sessions),"notes,app-deployment"
Random (app deployment),Random distribution (better for testing),"notes,app-deployment"
HTTP (app deployment),HTTP(S) requests,"notes,app-deployment"
Cloud Storage (app deployment),"Object create, delete, archive, metadata update","notes,app-deployment"
Pub/Sub (app deployment),Message published to topic,"notes,app-deployment"
Firestore (app deployment),"Document create, update, delete","notes,app-deployment"
Firebase (app deployment),"Authentication, Realtime Database, Analytics","notes,app-deployment"
Cloud Scheduler (app deployment),Scheduled execution,"notes,app-deployment"
Insufficient resources (app deployment),Increase node pool size or enable cluster autoscaling,"notes,app-deployment"
Image pull error (app deployment),Verify image exists and service account has permissions,"notes,app-deployment"
PVC not bound (app deployment),Check if storage class exists and has available storage,"notes,app-deployment"
Port mismatch (app deployment),Update application to use $PORT,"notes,app-deployment"
Timeout too short (app deployment),Increase timeout,"notes,app-deployment"
Cold start issues (app deployment),Set minimum instances,"notes,app-deployment"
Memory issues (app deployment),Increase memory limit,"notes,app-deployment"
Region not initialized (app deployment),Initialize App Engine,"notes,app-deployment"
Invalid runtime (app deployment),Use supported runtime version,"notes,app-deployment"
File size too large (app deployment),Use .gcloudignore to exclude files,"notes,app-deployment"
Quota exceeded (app deployment),Request quota increase or clean up old versions,"notes,app-deployment"
Health check failing (app deployment),Adjust health check parameters,"notes,app-deployment"
Initial delay too short (app deployment),Increase autohealing initial delay,"notes,app-deployment"
Startup script failing (app deployment),Test startup script manually,"notes,app-deployment"
Cancel bad update (app deployment),Stop the update,"notes,app-deployment"
Increase timeout (app deployment),Update function configuration,"notes,app-deployment"
Optimize code (app deployment),Use asynchronous operations,"notes,app-deployment"
Move to Cloud Run (app deployment),If need more than 9 minutes (1st gen),"notes,app-deployment"
Use Cloud Tasks (app deployment),"For longer operations, enqueue tasks","notes,app-deployment"
DNS not pointing to Ingress (app deployment),Update DNS records,"notes,app-deployment"
Certificate pending (app deployment),Wait for provisioning (can take 15-60 minutes),"notes,app-deployment"
Domain validation failing (app deployment),Ensure DNS is correctly configured,"notes,app-deployment"
Using reserved IP (app deployment),Reserve and use static IP,"notes,app-deployment"
Versions not serving (app deployment),Start stopped versions,"notes,app-deployment"
Split percentages don't add to 1.0 (app deployment),Fix split values,"notes,app-deployment"
IP-based splitting with same IP (app deployment),Use cookie-based splitting,"notes,app-deployment"
Migration needed (app deployment),Explicitly migrate traffic,"notes,app-deployment"
Forgot to start rolling update (app deployment),Initiate update,"notes,app-deployment"
Update with wrong parameters (app deployment),Set correct surge/unavailable,"notes,app-deployment"
Need immediate update (app deployment),Use replace action,"notes,app-deployment"
Update MIG template (app deployment),Set new template as default,"notes,app-deployment"
Instance Templates (compute resources),Define VM configuration for creating instances,"notes,compute-resources"
