Question,Answer,Tags
How long is the ISC2 Certified in Cybersecurity (CC) exam?,120 minutes,exam-logistics
How many questions are on the ISC2 Certified in Cybersecurity (CC) exam?,100,exam-logistics
What is the passing score for ISC2 Certified in Cybersecurity (CC)?,700 out of 1000,exam-logistics
What does the ISC2 Certified in Cybersecurity (CC) exam cost?,Free exam and free self-paced training through the ISC2 One Million Certified in Cybersecurity initiative; an Annual Maintenance Fee applies once certified,exam-logistics
How long is ISC2 Certified in Cybersecurity (CC) valid for?,"3 years, maintained with continuing professional education credits and the AMF",exam-logistics
How is the ISC2 Certified in Cybersecurity (CC) exam delivered?,"Pearson VUE test center, or online proctored where available",exam-logistics
Authenticity (security principles),the data or party is genuine,"notes,security-principles"
Non-repudiation (security principles),"the actor cannot credibly deny having acted, typically provided by digital signatures","notes,security-principles"
Authentication (security principles),"proving who you are. Factors: something you know (password), something you have (token, phone), something you are (biometric). Two or more different factors is multi-factor authentication; two passwords is not.","notes,security-principles"
Authorization (security principles),"determining what you are permitted to do, after authentication succeeds","notes,security-principles"
Physical (security principles),"implemented in the physical world: lock, fence, guard, CCTV","notes,security-principles"
Preventive (security principles),"stops the event: lock, firewall, input validation","notes,security-principles"
Detective (security principles),"identifies that it happened: IDS, CCTV recording, audit log review","notes,security-principles"
Corrective (security principles),"fixes it afterwards: restore from backup, patch, incident response","notes,security-principles"
Deterrent (security principles),"discourages the attempt: warning sign, visible camera, published penalties","notes,security-principles"
Compensating (security principles),an alternative when the primary control is not feasible: extra monitoring where segmentation is impossible,"notes,security-principles"
Confidentiality (security principles),the property that information is accessible only to authorized parties,"notes,security-principles"
Integrity (security principles),the property that information is accurate and has not been altered without authorization,"notes,security-principles"
Availability (security principles),the property that information and systems are accessible to authorized users when needed,"notes,security-principles"
Accounting (security principles),"the recording of actions taken by an identity, for later review","notes,security-principles"
Multi-factor authentication (security principles),authentication using two or more different factor categories,"notes,security-principles"
Asset (security principles),anything of value to the organization that warrants protection,"notes,security-principles"
Vulnerability (security principles),a weakness that a threat could exploit,"notes,security-principles"
Threat (security principles),a circumstance or actor with the potential to exploit a vulnerability,"notes,security-principles"
Risk (security principles),the combination of the likelihood of an event and its impact,"notes,security-principles"
Residual risk (security principles),the risk that remains after controls have been applied,"notes,security-principles"
Risk tolerance (security principles),the amount of risk an organization is willing to accept,"notes,security-principles"
Preventive control (security principles),a control that stops an unwanted event from occurring,"notes,security-principles"
Detective control (security principles),a control that identifies that an event has occurred,"notes,security-principles"
Corrective control (security principles),a control that restores systems after an event,"notes,security-principles"
Deterrent control (security principles),a control that discourages an actor from attempting an action,"notes,security-principles"
Compensating control (security principles),an alternative control used when the primary control is not feasible,"notes,security-principles"
Defense in depth (security principles),layering multiple controls so no single failure exposes the asset,"notes,security-principles"
Policy (security principles),a high-level mandatory statement of organizational intent,"notes,security-principles"
Standard (security principles),a specific mandatory requirement supporting a policy,"notes,security-principles"
Guideline (security principles),"a recommended, non-mandatory practice","notes,security-principles"
PII (security principles),"personally identifiable information, data that can identify an individual","notes,security-principles"
MAC address (network security),the layer 2 hardware address.,"notes,network-security"
Defense in depth (network security),"multiple layers, so one failure is not enough","notes,network-security"
Zero trust (network security),"never trust based on network location; verify explicitly, grant least privilege, assume breach","notes,network-security"
Secure protocols (network security),"prefer HTTPS over HTTP, SSH over Telnet, SFTP over FTP, and use VPN for remote access","notes,network-security"
OSI model (network security),the seven-layer conceptual model of network communication,"notes,network-security"
TCP (network security),"the connection-oriented transport protocol providing reliable, ordered delivery","notes,network-security"
UDP (network security),the connectionless transport protocol offering speed without delivery guarantees,"notes,network-security"
Port (network security),the number identifying a particular service on a host,"notes,network-security"
VLAN (network security),a logical segmentation of a physical network,"notes,network-security"
VPN (network security),an encrypted tunnel carrying traffic across an untrusted network,"notes,network-security"
Switch (network security),a layer 2 device forwarding frames by MAC address,"notes,network-security"
Router (network security),a layer 3 device forwarding packets between networks by IP address,"notes,network-security"
Firewall (network security),a device or software permitting or denying traffic according to rules,"notes,network-security"
IDS (network security),an intrusion detection system that alerts on suspicious traffic without blocking it,"notes,network-security"
IPS (network security),an intrusion prevention system that detects and blocks suspicious traffic inline,"notes,network-security"
DMZ (network security),"a screened subnet hosting internet-facing services, isolated from the internal network","notes,network-security"
Network access control (network security),technology validating device posture before granting network access,"notes,network-security"
DDoS (network security),a distributed denial of service attack using many sources to exhaust a target,"notes,network-security"
On-path attack (network security),"interception of communication between two parties, formerly called man-in-the-middle","notes,network-security"
Phishing (network security),"fraudulent messaging seeking credentials or action, with targeted variants such as spear phishing and whaling","notes,network-security"
Ransomware (network security),malware that encrypts data and demands payment for its recovery,"notes,network-security"
Zero-day (network security),an exploit against a vulnerability for which no patch exists,"notes,network-security"
IaaS (network security),"a cloud model providing infrastructure, with the customer managing the operating system upward","notes,network-security"
SaaS (network security),"a cloud model providing complete applications, with the customer managing data and access only","notes,network-security"
Shared responsibility model (network security),the division of security duties between cloud provider and customer,"notes,network-security"
SLA (network security),a service level agreement defining committed service levels and remedies,"notes,network-security"
Least privilege (access control),"grant only the permissions needed to perform the job, and no more. Limits what a subject can do.","notes,access-control"
Need to know (access control),"grant access only to the information required for the task, even where broader access is technically possible. Limits what a subject can see.","notes,access-control"
Separation of duties (access control),split a sensitive process so no single person can complete it alone. The person who requests a payment must not be the person who approves it.,"notes,access-control"
Job rotation (access control),"move people between roles periodically, which both spreads capability and surfaces fraud that depends on one person staying in place.","notes,access-control"
Mandatory vacation (access control),"similar detective purpose, since ongoing concealment usually requires presence.","notes,access-control"
Something you know (access control),"password, PIN, security question","notes,access-control"
Something you have (access control),"hardware token, smart card, phone with an authenticator app","notes,access-control"
Something you are (access control),"fingerprint, face, iris, voice","notes,access-control"
Tailgating (access control),following an authorized person through a physical access control without authenticating,"notes,access-control"
Mantrap (access control),an access control vestibule permitting one person through at a time,"notes,access-control"
DAC (access control),"discretionary access control, where the data owner decides who may access a resource","notes,access-control"
MAC (access control),"mandatory access control, where the system enforces access from labels and clearances","notes,access-control"
RBAC (access control),"role-based access control, where permissions attach to roles and users are assigned roles","notes,access-control"
ABAC (access control),"attribute-based access control, where a policy evaluates multiple attributes at access time","notes,access-control"
Privilege creep (access control),the accumulation of unnecessary permissions as a person changes roles over time,"notes,access-control"
Provisioning (access control),creating an identity and granting its initial access,"notes,access-control"
Deprovisioning (access control),removing access when a person leaves or no longer requires it,"notes,access-control"
Access review (access control),periodic recertification that existing access is still required,"notes,access-control"
Privileged access management (access control),the stricter controls applied to administrative accounts,"notes,access-control"
False acceptance rate (access control),the rate at which a biometric system wrongly accepts an impostor,"notes,access-control"
False rejection rate (access control),the rate at which a biometric system wrongly rejects a legitimate user,"notes,access-control"
Crossover error rate (access control),the point where false acceptance and false rejection rates are equal,"notes,access-control"
Single sign-on (access control),one authentication event granting access to multiple systems,"notes,access-control"
Data owner (security operations),"accountable for the data, decides classification and who may access it","notes,security-operations"
Data custodian (security operations),"implements the controls the owner specifies, typically IT","notes,security-operations"
Data processor (security operations),processes data on behalf of the controller,"notes,security-operations"
Data subject (security operations),the individual the personal data is about,"notes,security-operations"
Deletion (security operations),removes the pointer; data is recoverable,"notes,security-operations"
Degaussing (security operations),destroys magnetic media with a strong magnetic field; ineffective on solid state,"notes,security-operations"
Cryptographic erasure (security operations),destroy the encryption key so the ciphertext is unrecoverable,"notes,security-operations"
Physical destruction (security operations),"shredding, incineration, pulverizing. Highest assurance","notes,security-operations"
What to log (security operations),"authentication attempts, authorization failures, administrative actions, configuration changes, and data access","notes,security-operations"
Log protection (security operations),"logs must be tamper-resistant and access-controlled, because an attacker's first move is often to clear them","notes,security-operations"
Inventory (security operations),you cannot protect what you do not know you have,"notes,security-operations"
Baseline (security operations),the approved secure configuration for a system type,"notes,security-operations"
Hardening (security operations),"removing unnecessary services, accounts, and software; changing default credentials","notes,security-operations"
Patch management (security operations),"identify, test, deploy, and verify updates","notes,security-operations"
Change management (security operations),"request, review, approve, implement, and document changes. It exists because most outages are caused by change","notes,security-operations"
Version control (security operations),"track what changed, when, and by whom","notes,security-operations"
Acceptable use policy (AUP) (security operations),how organizational systems may be used,"notes,security-operations"
Bring your own device (BYOD) (security operations),rules for personal devices accessing organizational data,"notes,security-operations"
Password policy (security operations),"complexity, length, rotation, reuse","notes,security-operations"
Privacy policy (security operations),how personal data is handled,"notes,security-operations"
Change management policy (security operations),Data handling policy,"notes,security-operations"
Data classification (security operations),assigning a sensitivity level so handling requirements follow the data,"notes,security-operations"
Data retention (security operations),the policy governing how long data is kept before disposal,"notes,security-operations"
Symmetric encryption (security operations),"encryption using a single shared key, fast and suited to bulk data","notes,security-operations"
Asymmetric encryption (security operations),"encryption using a public and private key pair, solving key distribution","notes,security-operations"
Hashing (security operations),"a one-way function producing a fixed-length value, used for integrity and password storage","notes,security-operations"
Salt (security operations),random data added before hashing a password so identical passwords hash differently,"notes,security-operations"
Digital signature (security operations),"data signed with a private key, providing authenticity, integrity, and non-repudiation","notes,security-operations"
PKI (security operations),"public key infrastructure, the system issuing and managing digital certificates","notes,security-operations"
Certificate authority (security operations),the trusted entity vouching for the binding between a public key and an identity,"notes,security-operations"
SIEM (security operations),"security information and event management, centralizing and correlating log data","notes,security-operations"
Acceptable use policy (security operations),the policy defining how organizational systems may be used,"notes,security-operations"
Security awareness training (security operations),an administrative preventive control addressing the human attack surface,"notes,security-operations"
RTO (recovery time objective) (bcdr and incident response),"the maximum acceptable downtime. Drives recovery capability, such as standby infrastructure","notes,bcdr-and-incident-response"
RPO (recovery point objective) (bcdr and incident response),"the maximum acceptable data loss, measured in time. Drives backup and replication frequency","notes,bcdr-and-incident-response"
Event (bcdr and incident response),any observable occurrence in a system or network,"notes,bcdr-and-incident-response"
Incident (bcdr and incident response),an event that harms or threatens to harm security,"notes,bcdr-and-incident-response"
Breach (bcdr and incident response),an incident involving unauthorized access to or disclosure of data,"notes,bcdr-and-incident-response"
Incident response plan (bcdr and incident response),"the documented approach to detecting, containing, and recovering from incidents","notes,bcdr-and-incident-response"
Containment (bcdr and incident response),the incident response phase that limits the damage of an ongoing incident,"notes,bcdr-and-incident-response"
Eradication (bcdr and incident response),the incident response phase that removes the cause of the incident,"notes,bcdr-and-incident-response"
Post-incident activity (bcdr and incident response),the lessons learned phase that improves controls and the plan,"notes,bcdr-and-incident-response"
Chain of custody (bcdr and incident response),"documentation of who handled evidence, when, and how","notes,bcdr-and-incident-response"
Business impact analysis (bcdr and incident response),"the study identifying critical functions, their dependencies, and the impact of losing them","notes,bcdr-and-incident-response"
Maximum tolerable downtime (bcdr and incident response),the longest a business function can be unavailable before unacceptable harm,"notes,bcdr-and-incident-response"
Business continuity plan (bcdr and incident response),the plan keeping critical business functions running during a disruption,"notes,bcdr-and-incident-response"
Disaster recovery plan (bcdr and incident response),the plan restoring technology and data after a disruptive event,"notes,bcdr-and-incident-response"
RTO (bcdr and incident response),"recovery time objective, the maximum acceptable downtime","notes,bcdr-and-incident-response"
RPO (bcdr and incident response),"recovery point objective, the maximum acceptable data loss measured in time","notes,bcdr-and-incident-response"
Full backup (bcdr and incident response),a complete copy of all selected data,"notes,bcdr-and-incident-response"
Incremental backup (bcdr and incident response),"a copy of changes since the last backup of any type, fast to create and slow to restore","notes,bcdr-and-incident-response"
Differential backup (bcdr and incident response),"a copy of changes since the last full backup, slower to create and faster to restore","notes,bcdr-and-incident-response"
3-2-1 rule (bcdr and incident response),"three copies of data, on two media types, with one copy offsite","notes,bcdr-and-incident-response"
Hot site (bcdr and incident response),"a fully equipped alternate site with current data, able to operate almost immediately","notes,bcdr-and-incident-response"
Cold site (bcdr and incident response),an alternate site with space and utilities but no equipment or data,"notes,bcdr-and-incident-response"
Tabletop exercise (bcdr and incident response),a discussion-based test of a plan without touching production systems,"notes,bcdr-and-incident-response"
