Question,Answer,Tags
How long is the Palo Alto Networks Certified Network Security Administrator (PCNSA) exam?,80 minutes,exam-logistics
How many questions are on the Palo Alto Networks Certified Network Security Administrator (PCNSA) exam?,60,exam-logistics
What is the passing score for Palo Alto Networks Certified Network Security Administrator (PCNSA)?,~70%,exam-logistics
What does the Palo Alto Networks Certified Network Security Administrator (PCNSA) exam cost?,$155 USD,exam-logistics
How long is Palo Alto Networks Certified Network Security Administrator (PCNSA) valid for?,2 years,exam-logistics
Strata (portfolio architecture),"the network security product line: PAN-OS next-generation firewalls, Panorama, and associated subscriptions. This is what PCNSA covers.","notes,portfolio-architecture"
Prisma (portfolio architecture),"cloud security: Prisma Access (SASE), Prisma Cloud (CNAPP), Prisma SD-WAN.","notes,portfolio-architecture"
Cortex (portfolio architecture),"security operations: Cortex XDR, XSOAR for orchestration, Xpanse for attack surface management.","notes,portfolio-architecture"
Unit 42 (portfolio architecture),the threat intelligence and incident response arm.,"notes,portfolio-architecture"
PA-Series (portfolio architecture),"physical hardware appliances, from branch to data center.","notes,portfolio-architecture"
VM-Series (portfolio architecture),virtual firewalls for private and public cloud.,"notes,portfolio-architecture"
CN-Series (portfolio architecture),containerized firewall for Kubernetes environments.,"notes,portfolio-architecture"
Cloud NGFW (portfolio architecture),managed firewall service in public cloud.,"notes,portfolio-architecture"
Single-Pass Architecture (SP3) (portfolio architecture),"the packet is parsed once, and all inspection (App-ID, Content-ID, User-ID, policy) happens against that single parse rather than in a chain of separate engines.","notes,portfolio-architecture"
Parallel processing (portfolio architecture),"dedicated hardware planes handle networking, security, and management concurrently.","notes,portfolio-architecture"
Control plane (portfolio architecture),"management, logging, and routing protocol processes.","notes,portfolio-architecture"
Data plane (portfolio architecture),packet forwarding and inspection. Separating them means heavy management activity does not degrade throughput.,"notes,portfolio-architecture"
App-ID (portfolio architecture),"identifies the application regardless of port, protocol, or encryption evasion. The core differentiator. A rule permitting web-browsing permits that application wherever it runs, and a rule permitting port 80 alone permits anything on that port.","notes,portfolio-architecture"
User-ID (portfolio architecture),"maps IP addresses to usernames and groups, so policy can be written in terms of people rather than addresses.","notes,portfolio-architecture"
Content-ID (portfolio architecture),"the inspection stream: threat prevention, URL filtering, file blocking, and data filtering.","notes,portfolio-architecture"
Device-ID (portfolio architecture),"identifies device types, useful for IoT policy.","notes,portfolio-architecture"
Zone (portfolio architecture),a logical grouping of interfaces with the same security treatment. All policy is written zone to zone.,"notes,portfolio-architecture"
Intrazone traffic (portfolio architecture),within one zone. Allowed by default.,"notes,portfolio-architecture"
Interzone traffic (portfolio architecture),between zones. Denied by default.,"notes,portfolio-architecture"
