Question,Answer,Tags
How long is the Prometheus Certified Associate (PCA) exam?,90 minutes,exam-logistics
What is the passing score for Prometheus Certified Associate (PCA)?,75%,exam-logistics
What does the Prometheus Certified Associate (PCA) exam cost?,$250 USD (includes one free retake),exam-logistics
How long is Prometheus Certified Associate (PCA) valid for?,3 years,exam-logistics
How is the Prometheus Certified Associate (PCA) exam delivered?,Online proctored via PSI,exam-logistics
Golden Signals (observability concepts),"General-purpose, good default for any service","notes,observability-concepts"
RED Method (observability concepts),User-facing services where requests are the primary concern,"notes,observability-concepts"
USE Method (observability concepts),"Infrastructure components (CPU, memory, disk, network)","notes,observability-concepts"
Advantages (observability concepts),"Targets are simpler (just expose metrics), easy to determine if a target is down, no overload risk on the monitoring system","notes,observability-concepts"
Disadvantages (observability concepts),"Targets must be reachable from the monitoring system, service discovery needed","notes,observability-concepts"
Retrieval (prometheus fundamentals),Discovers and scrapes targets for metrics,"notes,prometheus-fundamentals"
TSDB (prometheus fundamentals),Stores time-series data on local disk,"notes,prometheus-fundamentals"
HTTP Server (prometheus fundamentals),Serves the web UI and PromQL API,"notes,prometheus-fundamentals"
Rule Engine (prometheus fundamentals),Evaluates recording rules and alerting rules,"notes,prometheus-fundamentals"
Client Libraries (prometheus fundamentals),"Instrument application code (Go, Python, Java, Ruby, etc.)","notes,prometheus-fundamentals"
Exporters (prometheus fundamentals),"Expose metrics from third-party systems (Node, MySQL, Blackbox, etc.)","notes,prometheus-fundamentals"
Service Discovery (prometheus fundamentals),Dynamically discover scrape targets,"notes,prometheus-fundamentals"
Visualization (prometheus fundamentals),"Grafana for dashboards, Prometheus web UI for ad-hoc queries","notes,prometheus-fundamentals"
WAL (Write-Ahead Log) (prometheus fundamentals),Durability for recent writes (crash recovery),"notes,prometheus-fundamentals"
Head Block (prometheus fundamentals),In-memory block for the most recent data,"notes,prometheus-fundamentals"
Persistent Blocks (prometheus fundamentals),"Compressed, immutable blocks on disk (2-hour chunks)","notes,prometheus-fundamentals"
Compaction (prometheus fundamentals),Merges smaller blocks into larger ones for efficiency,"notes,prometheus-fundamentals"
Prometheus (prometheus fundamentals),Defines a Prometheus instance,"notes,prometheus-fundamentals"
ServiceMonitor (prometheus fundamentals),Declares which services to monitor (auto-configures scrape targets),"notes,prometheus-fundamentals"
PodMonitor (prometheus fundamentals),Declares which pods to monitor,"notes,prometheus-fundamentals"
PrometheusRule (prometheus fundamentals),Defines recording and alerting rules,"notes,prometheus-fundamentals"
Alertmanager (prometheus fundamentals),Defines an Alertmanager instance,"notes,prometheus-fundamentals"
One-to-one (promql),"Default, matches series with identical labels","notes,promql"
Many-to-one/one-to-many (promql),group_left(labels) or group_right(labels),"notes,promql"
Behavior (instrumentation exporters),"Monotonically increasing value (only goes up, resets to 0 on restart)","notes,instrumentation-exporters"
Use Cases (instrumentation exporters),"Total requests, total errors, total bytes processed","notes,instrumentation-exporters"
Naming (instrumentation exporters),"Suffix with _total (e.g., http_requests_total)","notes,instrumentation-exporters"
PromQL (instrumentation exporters),Always use rate() or increase() - raw counter values are rarely useful,"notes,instrumentation-exporters"
Important (instrumentation exporters),Counter resets are handled automatically by rate() and increase(),"notes,instrumentation-exporters"
Advantages (instrumentation exporters),"Can be aggregated across instances, flexible quantile calculation server-side","notes,instrumentation-exporters"
Bucket Configuration (instrumentation exporters),Choose buckets that match your SLO thresholds,"notes,instrumentation-exporters"
Exposed Metrics (instrumentation exporters),"metric{quantile=""...""} - pre-calculated quantile values (gauge)","notes,instrumentation-exporters"
Purpose (instrumentation exporters),Linux host metrics,"notes,instrumentation-exporters"
Metrics (instrumentation exporters),"CPU, memory, disk, network, filesystem","notes,instrumentation-exporters"
Key Metrics (instrumentation exporters),node_cpu_seconds_total - CPU time per mode,"notes,instrumentation-exporters"
Protocols (instrumentation exporters),"HTTP, HTTPS, TCP, DNS, ICMP","notes,instrumentation-exporters"
Built into kubelet (instrumentation exporters),No separate deployment needed in Kubernetes,"notes,instrumentation-exporters"
MySQL Exporter (instrumentation exporters),"Query performance, connection stats, replication lag","notes,instrumentation-exporters"
PostgreSQL Exporter (instrumentation exporters),"Query stats, connection counts, table sizes","notes,instrumentation-exporters"
Redis Exporter (instrumentation exporters),"Memory usage, command stats, key counts","notes,instrumentation-exporters"
MongoDB Exporter (instrumentation exporters),"Operation counts, connections, replication status","notes,instrumentation-exporters"
Purpose-driven (alerting dashboarding),Each dashboard should answer a specific question,"notes,alerting-dashboarding"
Hierarchy (alerting dashboarding),Overview dashboards link to detailed dashboards,"notes,alerting-dashboarding"
Consistent layout (alerting dashboarding),Standard placement for common metrics,"notes,alerting-dashboarding"
USE/RED/Golden Signals (alerting dashboarding),Organize panels around a monitoring methodology,"notes,alerting-dashboarding"
Thresholds (alerting dashboarding),Add visual thresholds for SLO boundaries,"notes,alerting-dashboarding"
Annotations (alerting dashboarding),Mark deployments and incidents on time series,"notes,alerting-dashboarding"
