Question,Answer,Tags
How long is the Databricks Certified Lakehouse Platform Administrator exam?,90 minutes,exam-logistics
How many questions are on the Databricks Certified Lakehouse Platform Administrator exam?,45 multiple-choice questions,exam-logistics
What is the passing score for Databricks Certified Lakehouse Platform Administrator?,70% (approximately 32 correct),exam-logistics
What does the Databricks Certified Lakehouse Platform Administrator exam cost?,$200 USD,exam-logistics
How long is Databricks Certified Lakehouse Platform Administrator valid for?,2 years,exam-logistics
How is the Databricks Certified Lakehouse Platform Administrator exam delivered?,Online proctored,exam-logistics
Enable/disable features (workspace administration),"Repos, SQL warehouses, Jobs, MLflow, etc.","notes,workspace-administration"
Default language (workspace administration),"Python, SQL, Scala, R for new notebooks","notes,workspace-administration"
Results download (workspace administration),Enable/disable downloading query results,"notes,workspace-administration"
Verbose audit logging (workspace administration),Additional detail in audit logs,"notes,workspace-administration"
Web terminal (workspace administration),Enable/disable web terminal access on clusters,"notes,workspace-administration"
DBFS browser (workspace administration),Enable/disable DBFS file browser,"notes,workspace-administration"
Notebook table clipboard (workspace administration),Enable/disable copy to clipboard,"notes,workspace-administration"
Personal access tokens (workspace administration),Enable/disable PAT generation,"notes,workspace-administration"
Workspace root (workspace administration),/Workspace - shared content,"notes,workspace-administration"
User folders (workspace administration),/Users/ - personal notebooks and files,"notes,workspace-administration"
Repos folders (workspace administration),/Repos/ - Git-connected content,"notes,workspace-administration"
Shared folder (workspace administration),/Shared - team-accessible content,"notes,workspace-administration"
Account-level users (identity access),"Created in account console, can be assigned to workspaces","notes,identity-access"
Workspace-level users (identity access),Legacy - only exist in a single workspace,"notes,identity-access"
Best practice (identity access),"Create users at account level, assign to workspaces as needed","notes,identity-access"
Workspace access (identity access),Allow user to log into workspace,"notes,identity-access"
Databricks SQL access (identity access),Allow access to SQL features and warehouses,"notes,identity-access"
Allow cluster creation (identity access),Allow user to create clusters (restrict for cost control),"notes,identity-access"
Allow instance pool creation (identity access),Allow user to create instance pools,"notes,identity-access"
Node type (data cluster management),Instance type for driver and worker nodes,"notes,data-cluster-management"
Autoscaling (data cluster management),Min and max workers,"notes,data-cluster-management"
Auto-termination (data cluster management),Idle timeout (default 120 minutes),"notes,data-cluster-management"
Spark version (data cluster management),Databricks Runtime version,"notes,data-cluster-management"
Spark configuration (data cluster management),Custom Spark properties,"notes,data-cluster-management"
Environment variables (data cluster management),Set on driver and workers,"notes,data-cluster-management"
Init scripts (data cluster management),Startup scripts for customization,"notes,data-cluster-management"
Instance pools (data cluster management),Pre-provisioned instances for faster startup,"notes,data-cluster-management"
Spot instances (data cluster management),Cost optimization for worker nodes,"notes,data-cluster-management"
Driver node (data cluster management),Always use on-demand (driver loss kills the cluster),"notes,data-cluster-management"
Worker nodes (data cluster management),Can use spot/preemptible for cost savings (60-90% savings),"notes,data-cluster-management"
First on-demand (data cluster management),Specify minimum on-demand workers for stability,"notes,data-cluster-management"
Fallback to on-demand (data cluster management),When spot capacity unavailable,"notes,data-cluster-management"
fixed (data cluster management),Value cannot be changed by user,"notes,data-cluster-management"
range (data cluster management),Numeric range (min/max),"notes,data-cluster-management"
allowlist (data cluster management),Set of allowed values,"notes,data-cluster-management"
forbidden (data cluster management),Attribute cannot be set,"notes,data-cluster-management"
unlimited (data cluster management),No restriction (explicitly allow),"notes,data-cluster-management"
Can use (data cluster management),User can create clusters with this policy,"notes,data-cluster-management"
Can manage (data cluster management),User can edit the policy,"notes,data-cluster-management"
Size (data cluster management),"2X-Small to 4X-Large (T-shirt sizing, maps to cluster resources)","notes,data-cluster-management"
Auto-stop (data cluster management),Idle timeout before shutdown (default 10-45 min),"notes,data-cluster-management"
Scaling (data cluster management),Min and max clusters for concurrency,"notes,data-cluster-management"
Spot policy (data cluster management),Cost-optimized or reliability-optimized,"notes,data-cluster-management"
Channel (data cluster management),Current or Preview (for testing new features),"notes,data-cluster-management"
Tags (data cluster management),Custom tags for cost allocation,"notes,data-cluster-management"
Managed volumes (data cluster management),Storage managed by Unity Catalog,"notes,data-cluster-management"
External volumes (data cluster management),Point to existing cloud storage,"notes,data-cluster-management"
Front-end Private Link (security),Users access workspace UI/API via private endpoint (no public internet),"notes,security"
Back-end Private Link (security),Data plane to control plane communication stays private,"notes,security"
VPC peering (security),Connect Databricks VPC to data source VPC,"notes,security"
Transit gateway (security),Hub-and-spoke connectivity,"notes,security"
VPN (security),Encrypted tunnel to on-premises data centers,"notes,security"
Private endpoints (security),"Direct connection to cloud services (S3, ADLS, etc.)","notes,security"
Secret scopes (security),Containers for secrets,"notes,security"
Account-level events (security),"Workspace creation, user management, SSO events","notes,security"
Workspace-level events (security),"Cluster operations, job runs, notebook actions, SQL queries","notes,security"
Unity Catalog events (security),"Table access, permission changes, data lineage","notes,security"
DBFS events (security),File operations on DBFS,"notes,security"
