Question,Answer,Tags
How long is the NVIDIA Certified Professional - Agentic AI (NCP-AAI) exam?,120 minutes,exam-logistics
How many questions are on the NVIDIA Certified Professional - Agentic AI (NCP-AAI) exam?,60-70 questions,exam-logistics
What is the passing score for NVIDIA Certified Professional - Agentic AI (NCP-AAI)?,Not officially published,exam-logistics
What does the NVIDIA Certified Professional - Agentic AI (NCP-AAI) exam cost?,$200 USD,exam-logistics
How long is NVIDIA Certified Professional - Agentic AI (NCP-AAI) valid for?,2 years,exam-logistics
Summarization (agentic architectures),Compress older messages to save context space,"notes,agentic-architectures"
RAG retrieval (agentic architectures),Fetch relevant long-term memories on demand,"notes,agentic-architectures"
Priority retention (agentic architectures),Keep high-importance information longer,"notes,agentic-architectures"
Consolidation (agentic architectures),Periodically merge and deduplicate memories,"notes,agentic-architectures"
Eviction policies (agentic architectures),Remove stale or low-value entries,"notes,agentic-architectures"
Chain (tool use function calling),Output of one tool feeds into the next,"notes,tool-use-function-calling"
Map-Reduce (tool use function calling),"Apply tool to multiple items, aggregate results","notes,tool-use-function-calling"
Fan-out/Fan-in (tool use function calling),Parallel sub-tasks that merge at a sync point,"notes,tool-use-function-calling"
Conditional (tool use function calling),Branch execution based on tool results,"notes,tool-use-function-calling"
Specialization (multi agent systems),Each agent focuses on a specific domain or skill,"notes,multi-agent-systems"
Scalability (multi agent systems),Add agents for new capabilities without modifying existing ones,"notes,multi-agent-systems"
Robustness (multi agent systems),Failure of one agent does not necessarily halt the system,"notes,multi-agent-systems"
Complexity management (multi agent systems),Break complex tasks into manageable agent responsibilities,"notes,multi-agent-systems"
Parallel processing (multi agent systems),Independent agents can work simultaneously,"notes,multi-agent-systems"
Orchestrator (multi agent systems),"Coordinates other agents, manages task flow","notes,multi-agent-systems"
Researcher (multi agent systems),Gathers and synthesizes information,"notes,multi-agent-systems"
Coder (multi agent systems),"Writes, reviews, and debugs code","notes,multi-agent-systems"
Critic (multi agent systems),Evaluates outputs and provides feedback,"notes,multi-agent-systems"
Planner (multi agent systems),Decomposes tasks and creates execution plans,"notes,multi-agent-systems"
Executor (multi agent systems),Carries out specific actions using tools,"notes,multi-agent-systems"
Validator (multi agent systems),Checks results against requirements and constraints,"notes,multi-agent-systems"
Handoff (multi agent systems),One agent explicitly transfers control to another,"notes,multi-agent-systems"
Delegation (multi agent systems),Agent assigns sub-tasks to other agents,"notes,multi-agent-systems"
Consultation (multi agent systems),Agent requests input from another without transferring control,"notes,multi-agent-systems"
Notification (multi agent systems),Agent informs others of important events or results,"notes,multi-agent-systems"
Function calling support (nim microservices),Model must handle tool_choice and function schemas,"notes,nim-microservices"
Strong instruction following (nim microservices),Agents rely on precise instruction adherence,"notes,nim-microservices"
Reasoning capability (nim microservices),Complex tasks require multi-step reasoning,"notes,nim-microservices"
Context length (nim microservices),Longer context supports more tools and conversation history,"notes,nim-microservices"
Low latency (nim microservices),Interactive agents need fast response times,"notes,nim-microservices"
"LLaMA 3.1 (8B, 70B, 405B) (nim microservices)","Strong function calling, various size/quality trade-offs","notes,nim-microservices"
Mixtral 8x7B (nim microservices),Good balance of speed and quality via mixture of experts,"notes,nim-microservices"
Nemotron (nim microservices),NVIDIA's models optimized for enterprise agent workloads,"notes,nim-microservices"
Mistral Large (nim microservices),High-quality reasoning and function calling,"notes,nim-microservices"
Streaming (nim microservices),Enable SSE streaming for responsive user experience,"notes,nim-microservices"
KV-cache management (nim microservices),Paged attention for efficient memory use,"notes,nim-microservices"
Batching (nim microservices),Continuous batching for concurrent agent sessions,"notes,nim-microservices"
Quantization (nim microservices),"FP8 on H100, INT8/FP16 on A100 for faster inference","notes,nim-microservices"
Flows (safety guardrails),Define allowed conversation patterns,"notes,safety-guardrails"
User messages (safety guardrails),Canonical forms for user intents,"notes,safety-guardrails"
Bot messages (safety guardrails),Define bot response patterns,"notes,safety-guardrails"
Actions (safety guardrails),Custom Python functions invoked by guardrails,"notes,safety-guardrails"
Variables (safety guardrails),Store and reference conversation state,"notes,safety-guardrails"
Max iterations (safety guardrails),Set limits on agent reasoning loops,"notes,safety-guardrails"
Timeouts (safety guardrails),Enforce time limits for individual tool calls and total task time,"notes,safety-guardrails"
Circuit breakers (safety guardrails),Stop calling failing external services,"notes,safety-guardrails"
Resource budgets (safety guardrails),"Limit total tokens, tool calls, or cost per session","notes,safety-guardrails"
Graceful degradation (safety guardrails),Fall back to simpler responses when systems fail,"notes,safety-guardrails"
Red teaming (safety guardrails),Adversarial testing by security experts,"notes,safety-guardrails"
Automated probing (safety guardrails),Run known attack patterns against guardrails,"notes,safety-guardrails"
Regression testing (safety guardrails),Verify safety after model or config updates,"notes,safety-guardrails"
Edge case testing (safety guardrails),Test boundary conditions and unusual inputs,"notes,safety-guardrails"
Unit tests (safety guardrails),Test individual tools and guardrails in isolation,"notes,safety-guardrails"
Integration tests (safety guardrails),Test agent workflows end-to-end,"notes,safety-guardrails"
Load tests (safety guardrails),Verify performance under concurrent agent sessions,"notes,safety-guardrails"
Chaos tests (safety guardrails),Randomly disable tools or services to test resilience,"notes,safety-guardrails"
Blue-green deployments (safety guardrails),Deploy new versions alongside old,"notes,safety-guardrails"
Canary releases (safety guardrails),Gradually shift traffic to new version,"notes,safety-guardrails"
Rollback procedures (safety guardrails),Quickly revert when issues are detected,"notes,safety-guardrails"
Incident response (safety guardrails),Documented procedures for agent misbehavior,"notes,safety-guardrails"
